Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=082bf965301e3ce1125ba4ca625a7052&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=SEC&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=bbn46&legendRef=reference
,SEC.M.I8.1000.F51100.M.1.Z01.E.Z,SEC.M.I8.1000.F51100.M.2.Z01.E.Z,SEC.M.I8.1000.F51100.M.3.Z01.E.Z,SEC.M.I8.1000.F51100.M.4.Z01.E.Z,SEC.M.I8.1000.F51100.M.I.Z01.A.Z,SEC.M.I8.1000.F51100.M.I.Z01.E.Z,SEC.M.I8.1100.F51100.M.1.Z01.E.Z,SEC.M.I8.1100.F51100.M.2.Z01.E.Z,SEC.M.I8.1100.F51100.M.3.Z01.E.Z,SEC.M.I8.1100.F51100.M.4.Z01.E.Z,SEC.M.I8.1100.F51100.M.I.Z01.A.Z,SEC.M.I8.1220.F51100.M.1.Z01.E.Z,SEC.M.I8.1220.F51100.M.2.Z01.E.Z,SEC.M.I8.1220.F51100.M.3.Z01.E.Z,SEC.M.I8.1220.F51100.M.4.Z01.E.Z,SEC.M.I8.1220.F51100.M.I.Z01.A.Z,SEC.M.I8.1235.F51100.M.1.Z01.E.Z,SEC.M.I8.1235.F51100.M.2.Z01.E.Z,SEC.M.I8.1235.F51100.M.3.Z01.E.Z,SEC.M.I8.1235.F51100.M.4.Z01.E.Z,SEC.M.I8.1235.F51100.M.I.Z01.A.Z
,"Total economy, Outstanding amounts at the end of the period (stocks), Euro","Total economy, (Gross) issues against cash (flows), Euro","Total economy, Redemptions (flows), Euro","Total economy, Net issues (flows), Euro","Total economy, Index of Notional Stocks, Annual growth rate","Total economy, Index of Notional Stocks, Euro","Non-financial corporations (ESA 95 classification), Outstanding amounts at the end of the period (stocks), Euro","Non-financial corporations (ESA 95 classification), (Gross) issues against cash (flows), Euro","Non-financial corporations (ESA 95 classification), Redemptions (flows), Euro","Non-financial corporations (ESA 95 classification), Net issues (flows), Euro","Non-financial corporations (ESA 95 classification), Index of Notional Stocks, Annual growth rate","Other monetary financial institutions, Outstanding amounts at the end of the period (stocks), Euro","Other monetary financial institutions, (Gross) issues against cash (flows), Euro","Other monetary financial institutions, Redemptions (flows), Euro","Other monetary financial institutions, Net issues (flows), Euro","Other monetary financial institutions, Index of Notional Stocks, Annual growth rate","Non-MFI financial institutions, Outstanding amounts at the end of the period (stocks), Euro","Non-MFI financial institutions, (Gross) issues against cash (flows), Euro","Non-MFI financial institutions, Redemptions (flows), Euro","Non-MFI financial institutions, Net issues (flows), Euro","Non-MFI financial institutions, Index of Notional Stocks, Annual growth rate"
Collection:,End of period (E),Summed through period (S),Summed through period (S),Summed through period (S),End of period (E),End of period (E),End of period (E),Summed through period (S),Summed through period (S),Summed through period (S),End of period (E),End of period (E),Summed through period (S),Summed through period (S),Summed through period (S),End of period (E),End of period (E),Summed through period (S),Summed through period (S),Summed through period (S),End of period (E)
Period\Unit:,[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Percent per annum ],[Dec08 = 100],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Percent per annum ],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Percent per annum ],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Percent per annum ]
2020Nov,8235911.385,17276.395,3312.598,13963.798,1.193,114.329,6474331.763,16706.956,2506.525,14200.431,1.098,448476.984,8.010,182.000,-173.990,0.022,1313102.637,561.429,624.073,-62.644,2.131
2020Oct,7230636.307,29937.989,491.807,29446.182,0.983,114.109,5779596.595,10989.840,482.732,10507.108,0.825,348249.012,540.560,6.000,534.560,0.065,1102790.700,18407.589,3.075,18404.514,2.174
2020Sep,7537246.431,23455.627,1409.171,22046.456,0.592,113.665,6044562.365,22957.896,1346.909,21610.987,0.659,364881.998,78.700,4.000,74.700,-0.080,1127802.069,419.030,58.262,360.768,0.501
2020Aug,7723504.356,12365.244,983.266,11381.978,0.333,113.342,6137180.642,10999.253,884.000,10115.253,0.341,395045.469,949.070,28.000,921.070,-0.090,1191278.245,416.921,71.266,345.655,0.461
2020Jul,7436114.092,6934.693,3903.352,3031.341,0.093,113.168,5910068.300,5070.054,3512.720,1557.334,0.074,376662.498,1.550,0.000,1.550,-0.283,1149383.294,1863.088,390.632,1472.456,0.339
2020Jun,7510282.257,8672.068,3215.977,5456.092,0.042,113.123,5950799.799,7877.693,3215.977,4661.716,0.049,388434.889,2.150,0.000,2.150,-0.221,1171047.569,792.225,0.000,792.225,0.115
2020May,7273210.266,5945.503,10386.629,-4441.126,-0.021,113.038,5798103.110,4924.320,9419.973,-4495.653,-0.043,359514.539,17.720,569.000,-551.280,-0.030,1115592.617,1003.463,397.656,605.807,0.099
2020Apr,6966342.075,4496.486,546.015,3950.471,0.027,113.110,5544716.405,1895.508,289.897,1605.611,0.032,340019.224,0.000,0.000,0.000,0.122,1081606.446,2600.978,256.118,2344.860,-0.021
2020Mar,6445073.840,1496.376,3946.490,-2450.113,0.025,113.041,5139714.578,996.665,1661.207,-664.542,0.032,330352.916,3.820,1521.000,-1517.180,0.122,975006.346,495.891,764.283,-268.392,-0.041
2020Feb,7749046.895,3030.134,3394.750,-364.616,0.035,113.076,6027759.001,1672.368,2604.110,-931.742,0.022,482603.305,16.040,0.000,16.040,0.471,1238684.588,1341.726,790.640,551.086,-0.067
2020Jan,8470975.701,3888.349,2145.586,1742.762,0.030,113.081,6561630.651,3731.703,1414.450,2317.253,0.012,517889.767,0.000,7.000,-7.000,0.471,1391455.284,156.645,724.136,-567.491,-0.045
2019Dec,8587943.955,15142.251,9386.459,5755.792,-0.001,113.058,6638844.106,11870.640,6331.719,5538.921,-0.029,538352.910,735.030,26.280,708.750,0.474,1410746.939,2536.581,3028.460,-491.879,-0.042
2019Nov,8495894.179,7227.647,8398.883,-1171.236,-0.118,112.982,6577414.617,5288.662,6918.251,-1629.589,-0.179,516806.298,1.040,38.000,-36.960,0.359,1401673.265,1937.945,1442.632,495.313,-0.011
2019Oct,8257758.276,2327.963,2166.411,161.552,-0.133,112.998,6388314.076,1747.396,1161.175,586.221,-0.181,500404.882,7.020,0.000,7.020,0.372,1369039.318,573.547,1005.236,-431.689,-0.101
2019Sep,8183358.387,3846.510,1727.334,2119.176,-0.062,112.996,6337930.640,2713.297,515.307,2197.990,-0.087,488505.628,45.840,4.000,41.840,0.371,1356922.119,1087.373,1208.027,-120.654,-0.106
2019Aug,7841860.197,2890.883,9786.302,-6895.419,-0.087,112.965,6182442.496,1937.996,7910.301,-5972.305,-0.113,454837.416,301.000,62.000,239.000,0.362,1204580.286,651.888,1814.001,-1162.114,-0.129
2019Jul,7979809.995,6082.724,6920.402,-837.678,-0.035,113.063,6230163.320,3161.111,3068.169,92.942,-0.049,475537.954,316.010,9.000,307.010,0.348,1274108.720,2605.603,3843.233,-1237.630,-0.118
2019Jun,7940004.847,7783.965,6916.200,867.764,-0.004,113.075,6188636.057,5552.693,6251.625,-698.932,-0.032,484425.391,919.040,18.320,900.720,0.359,1266943.400,1312.231,646.255,665.976,-0.015
2019May,7584775.534,5267.868,6555.588,-1287.720,0.023,113.062,5893887.395,4605.230,5016.779,-411.549,0.049,470868.110,1.130,54.000,-52.870,0.176,1220020.029,661.508,1484.809,-823.301,-0.162
2019Apr,8088116.516,6421.635,1800.990,4620.645,0.070,113.080,6257485.367,2986.097,1076.028,1910.069,0.083,536990.092,0.320,0.000,0.320,0.214,1293641.057,3435.218,724.962,2710.256,-0.050
2019Mar,7757870.742,2660.553,4307.660,-1647.107,0.387,113.012,6030171.957,1973.191,3205.818,-1232.627,0.130,495812.583,170.596,0.000,170.596,0.227,1231886.202,516.766,1101.842,-585.076,1.716
2019Feb,7712015.140,2114.452,2812.598,-698.146,0.525,113.037,5967854.099,473.179,1917.952,-1444.773,0.214,518658.358,15.070,0.000,15.070,0.312,1225502.683,1626.203,894.646,731.557,2.133
2019Jan,7479295.269,2941.395,3679.828,-738.433,0.655,113.047,5807120.184,2103.503,2440.476,-336.973,0.346,486961.111,8.000,0.000,8.000,0.311,1185213.974,829.892,1239.352,-409.460,2.318
2018Dec,7023470.592,2909.333,6635.577,-3726.244,0.688,113.059,5459208.994,1652.387,5453.167,-3800.780,0.373,465042.961,114.820,1.000,113.820,0.314,1099218.637,1142.126,1181.410,-39.284,2.392
2018Nov,7470660.756,2161.570,4365.552,-2203.982,0.765,113.115,5779590.171,1316.483,2905.048,-1588.565,0.458,512111.999,33.410,1.000,32.410,0.408,1178958.586,811.677,1459.504,-647.827,2.417
2018Oct,7542166.557,7533.137,1682.172,5850.964,0.819,113.149,5825419.903,7054.008,721.919,6332.089,0.480,515344.131,0.000,0.000,0.000,0.481,1201402.523,479.129,960.253,-481.124,2.615
2018Sep,7950123.337,2463.944,2324.463,139.481,0.916,113.065,6114104.693,2346.841,1793.073,553.768,0.438,543443.577,3.540,0.000,3.540,0.481,1292575.067,113.563,531.390,-417.827,3.478
2018Aug,8013532.340,1766.844,4599.126,-2832.282,1.033,113.063,6211900.780,886.273,2882.876,-1996.603,0.448,521118.321,212.000,3.000,209.000,0.483,1280513.239,668.571,1713.250,-1044.679,4.216
2018Jul,8163709.616,3907.096,2281.845,1625.251,1.089,113.103,6294514.918,3229.995,2073.224,1156.771,0.500,576049.678,401.070,0.000,401.070,0.446,1293145.020,276.031,208.621,67.410,4.336
2018Jun,7955459.806,14492.532,11353.467,3139.065,1.161,113.079,6145259.964,11157.812,6872.727,4285.085,0.432,543492.931,45.660,0.000,45.660,1.571,1266706.910,3289.060,4480.740,-1191.680,4.546
2018May,8024207.908,5632.004,3115.818,2516.186,1.231,113.035,6202777.627,4751.361,3063.940,1687.421,0.457,531229.588,179.801,3.000,176.801,1.562,1290200.693,700.843,48.878,651.964,4.897
2018Apr,8137715.033,30616.847,1234.610,29382.237,1.221,113.000,6181049.302,5845.449,1150.830,4694.619,0.433,620769.383,79.028,0.000,79.028,1.538,1335896.347,24692.370,83.780,24608.590,4.977
2018Mar,7810002.402,20530.400,11369.322,9161.078,0.903,112.577,5974588.916,8855.810,5070.205,3785.605,0.396,598940.454,752.660,1.900,750.760,1.526,1236473.032,10921.930,6297.217,4624.713,3.126
2018Feb,7916305.671,12171.661,2310.191,9861.470,0.878,112.447,6001989.509,8930.133,2264.460,6665.673,0.282,638644.477,9.000,0.150,8.850,3.065,1275671.686,3232.528,45.581,3186.947,2.813
2018Jan,8199575.309,2343.053,592.088,1750.964,0.987,112.312,6219196.381,1818.847,537.286,1281.561,0.174,665554.212,29.000,0.000,29.000,5.787,1314824.716,495.206,54.802,440.403,2.749
2017Dec,7950723.239,4884.973,2725.040,2159.933,1.032,112.287,6092569.078,3170.395,2015.160,1155.235,0.183,612514.422,742.390,1.000,741.390,6.109,1245639.739,972.188,708.880,263.308,2.844
2017Nov,7996740.440,5064.506,3115.923,1948.583,0.930,112.257,6128139.008,2593.926,2938.227,-344.301,0.051,637316.558,517.000,3.000,514.000,6.087,1231284.874,1953.581,174.696,1778.885,2.873
2017Oct,8155375.583,14615.395,1157.650,13457.745,0.868,112.230,6231419.738,4621.263,901.366,3719.897,-0.023,648547.126,0.000,0.000,0.000,6.042,1275408.720,9994.132,256.284,9737.847,2.887
2017Sep,7925564.356,10348.780,1364.729,8984.051,0.807,112.039,6056090.649,2344.224,1223.189,1121.035,0.051,656585.340,13.000,0.000,13.000,6.057,1212888.368,7991.556,141.540,7850.016,2.074
2017Aug,7629380.470,3376.686,1791.973,1584.713,0.709,111.908,5846930.688,2905.072,1719.063,1186.009,0.055,629704.022,0.000,1.000,-1.000,6.054,1152745.760,471.614,71.910,399.704,1.396
2017Jul,7712775.171,14072.106,6996.341,7075.765,0.692,111.885,5872736.551,3929.349,6839.846,-2910.497,0.035,662014.718,7639.070,0.000,7639.070,6.053,1178023.903,2503.687,156.495,2347.192,1.384
2017Jun,7688852.311,10410.785,1932.056,8478.729,0.659,111.782,5914002.441,7553.674,1821.085,5732.589,0.155,639465.285,0.000,4.000,-4.000,4.808,1135384.585,2857.111,106.971,2750.141,1.200
2017May,7839350.317,6671.018,5019.974,1651.044,0.717,111.661,6074216.339,5123.009,4935.512,187.497,0.149,631280.289,35.000,4.000,31.000,5.859,1133853.689,1513.009,80.462,1432.547,1.103
2017Apr,7750500.399,5375.509,752.409,4623.100,0.719,111.637,5973389.019,3132.568,679.094,2453.473,0.169,635803.766,12.000,2.000,10.000,5.863,1141307.614,2230.942,71.315,2159.627,1.014
2017Mar,7571458.129,16682.478,10107.705,6574.773,0.750,111.569,5834990.406,6782.431,9637.063,-2854.632,0.233,608895.659,8796.910,0.000,8796.910,5.861,1127572.064,1103.137,470.642,632.495,0.881
2017Feb,7261417.497,17197.947,981.345,16216.602,0.736,111.468,5628877.057,838.827,894.946,-56.119,0.310,537912.987,14300.720,0.000,14300.720,4.157,1094627.453,2058.400,86.399,1972.001,1.219
2017Jan,7084933.504,6411.722,1713.253,4698.469,0.549,111.214,5450676.142,3057.375,1393.270,1664.105,0.363,541212.496,1660.000,0.000,1660.000,1.478,1093044.866,1694.347,319.983,1374.364,1.055
2016Dec,7083979.596,3166.361,8126.389,-4960.028,0.517,111.140,5467682.644,1545.364,7468.595,-5923.231,0.365,537592.331,467.000,6.000,461.000,1.240,1078704.621,1153.997,651.794,502.203,0.942
2016Nov,6705566.751,5321.081,7850.326,-2529.245,0.784,111.222,5212372.102,3279.561,7456.640,-4177.079,0.543,481295.260,174.690,0.000,174.690,2.777,1011899.389,1866.830,393.686,1473.144,0.914
2016Oct,6711696.845,8197.188,916.240,7280.948,0.928,111.264,5274842.530,8055.665,896.590,7159.075,0.658,478239.374,61.000,0.000,61.000,2.770,958614.941,80.523,19.650,60.873,1.307
2016Sep,6640023.897,4304.225,2992.025,1312.200,0.911,111.142,5289658.880,3954.758,2752.664,1202.094,0.560,426735.923,0.000,1.300,-1.300,2.757,923629.093,349.467,238.061,111.406,1.765
2016Aug,6583778.654,1337.274,1105.761,231.513,0.900,111.120,5215961.841,1045.400,1006.307,39.093,0.552,443992.597,0.000,5.450,-5.450,2.758,923824.216,291.874,94.004,197.870,1.737
2016Jul,6545715.647,5012.349,1282.218,3730.131,0.902,111.116,5199793.553,4607.546,1127.218,3480.328,0.556,426193.357,29.000,4.540,24.460,2.759,919728.736,375.804,150.460,225.344,1.731
2016Jun,6257205.491,13417.502,2502.956,10914.546,0.908,111.050,4959882.458,6866.903,2275.517,4591.386,0.568,394390.486,4922.340,4.070,4918.270,2.756,902932.547,1628.259,223.369,1404.890,1.724
2016May,6600226.945,6263.253,4719.823,1543.430,0.919,110.867,5151296.654,5746.734,4609.699,1137.035,0.599,490756.429,51.000,5.754,45.246,2.519,958173.861,465.519,104.370,361.149,1.663
2016Apr,6511066.716,6443.834,501.898,5941.936,0.919,110.840,5053476.329,5760.172,372.546,5387.626,0.563,504453.401,5.000,5.310,-0.310,2.536,953136.985,678.662,124.042,554.620,1.848
2016Mar,6470659.152,5933.939,1110.591,4823.348,0.945,110.739,5048729.012,2281.305,1032.291,1249.014,0.544,482356.147,0.000,3.570,-3.570,2.979,939573.993,3652.634,74.730,3577.904,1.854
2016Feb,6286723.180,5497.625,2734.545,2763.080,0.956,110.654,4905120.288,5238.864,2651.665,2587.199,0.604,470760.860,13.000,1.370,11.630,2.980,910842.033,245.761,81.510,164.251,1.622
2016Jan,6387700.642,3585.524,1289.405,2296.119,0.978,110.606,5008822.810,2701.224,981.975,1719.249,0.587,489200.778,692.000,260.287,431.713,2.978,889677.054,192.300,47.143,145.157,1.891
2015Dec,6804158.055,16643.900,3025.825,13618.076,1.091,110.569,5261883.256,4419.287,906.993,3512.294,0.587,584268.324,9891.020,4.010,9887.010,4.209,958006.475,2333.593,2114.821,218.772,1.837
2015Nov,7094372.897,9221.340,1983.257,7238.083,0.959,110.357,5486966.200,3480.725,1619.183,1861.542,0.582,612162.148,182.010,0.000,182.010,2.663,995244.548,5558.605,364.074,5194.531,1.858
