Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=720c6c9ae19deb1361b141023cd240ca&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=BP6&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=bbn62&legendRef=reference
,BP6.M.N.I8.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.B.CKA._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.N.FA.F.F7.T.EUR._T.T.N,BP6.M.N.I8.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N,BP6.M.N.I8.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N,BP6.M.N.I8.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N,BP6.M.N.I8.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N
,"Total economy, Balance (Credits minus Debits), Current account, Functional category: Not Applicable, All currencies, Not allocated/unspecified (including all kinds of valuation methods)","Total economy, Balance (Credits minus Debits), Current plus capital account (if balance = Net lending (pos) / net borrowing (neg)), Functional category: Not Applicable, All currencies, Not allocated/unspecified (including all kinds of valuation methods)","Total economy, Balance (Credits minus Debits), Goods, Functional category: Not Applicable, All currencies, Not allocated/unspecified (including all kinds of valuation methods)","Total economy, Balance (Credits minus Debits), Primary income, Functional category: Not Applicable, All currencies, Not allocated/unspecified (including all kinds of valuation methods)","Total economy, Balance (Credits minus Debits), Secondary income, Functional category: Not Applicable, All currencies, Not allocated/unspecified (including all kinds of valuation methods)","Total economy, Balance (Credits minus Debits), Capital account, Functional category: Not Applicable, All currencies, Not allocated/unspecified (including all kinds of valuation methods)","Total economy, Balance (Credits minus Debits), Services, Functional category: Not Applicable, All currencies, Not allocated/unspecified (including all kinds of valuation methods)","Total economy, Net (Assets minus Liabilities), Net errors and omissions, Functional category: Not Applicable, All currencies, Not allocated/unspecified (including all kinds of valuation methods)","Total economy, Net (Assets minus Liabilities), Financial account, Direct Investment, Total financial assets/liabilities, All currencies, Not allocated/unspecified (including all kinds of valuation methods)","Total economy, Net (Assets minus Liabilities), Financial account, Financial Derivatives and Employee Stock Options, Financial derivatives and employee stock options, All original maturities, All currencies, Net marked to market value","Total economy, Net (Assets minus Liabilities), Financial account, Other Investment, Total financial assets/liabilities, All currencies, Not allocated/unspecified (including all kinds of valuation methods)","Total economy, Net (Assets minus Liabilities), Financial account, Portfolio Investment, Total financial assets/liabilities, All currencies, Market value","Total economy, Net (Assets minus Liabilities), Financial account, All functional categories, Total financial assets/liabilities, All currencies, Not allocated/unspecified (including all kinds of valuation methods)","Central bank, Assets (Net Acquisition of), Financial account, Reserve Assets, Total financial assets/liabilities, All currencies except national domestic currency, Not allocated/unspecified (including all kinds of valuation methods)"
Collection:,Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S)
Period\Unit:,[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro]
2020Nov,26808,28063,35877,3845,-18030,1256,5116,8658,-64046,12646,-85637,176354,36721,-2596
2020Oct,32977,33803,38693,-822,-11783,826,6889,-1350,16827,-212,-72547,85474,32453,2911
2020Sep,35285,34949,35487,1200,-10752,-337,9350,8863,7007,-21604,57564,-1792,43811,2637
2020Aug,22573,24232,24536,3163,-8820,1659,3693,27194,23887,-14419,16332,24321,51426,1304
2020Jul,25023,24635,35876,-5120,-10572,-387,4839,-25371,24210,5069,19992,-49449,-735,-558
2020Jun,19104,17290,27879,-2894,-9541,-1813,3659,39989,-23135,18405,81673,-19501,57279,-163
2020May,-591,-1750,16592,-7382,-14201,-1159,4400,16411,-34804,8709,-3592,42674,14661,1673
