Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=d2247ae645f7cbae6a8559dc2f34f6c4&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=STS&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=bbn67&legendRef=reference
,TRD.M.I8.N.M.TTT.J8.4.VAL,TRD.M.I8.N.M.TTT.J8.4.VOX,TRD.M.I8.N.X.TTT.J8.4.VAL,TRD.M.I8.N.X.TTT.J8.4.VOX,TRD.M.I8.Y.M.CAP.J8.4.VAL,TRD.M.I8.Y.M.CAP.J8.4.VOX,TRD.M.I8.Y.M.COM.J8.4.VAL,TRD.M.I8.Y.M.COM.J8.4.VOX,TRD.M.I8.Y.M.INT.J8.4.VAL,TRD.M.I8.Y.M.INT.J8.4.VOX,TRD.M.I8.Y.M.MAN.J8.4.VAL,TRD.M.I8.Y.M.MAN.J8.4.VOX,TRD.M.I8.Y.M.OIL.J8.4.VAL,TRD.M.I8.Y.M.OIL.J8.4.VOX,TRD.M.I8.Y.M.TTT.B2.4.VAL,TRD.M.I8.Y.M.TTT.CH.4.VAL,TRD.M.I8.Y.M.TTT.CN.4.VAL,TRD.M.I8.Y.M.TTT.E4.4.VAL,TRD.M.I8.Y.M.TTT.F2.4.VAL,TRD.M.I8.Y.M.TTT.GB.4.VAL,TRD.M.I8.Y.M.TTT.J8.4.VAL,TRD.M.I8.Y.M.TTT.J8.4.VOX,TRD.M.I8.Y.M.TTT.JP.4.VAL,TRD.M.I8.Y.M.TTT.K0.4.VAL,TRD.M.I8.Y.M.TTT.RU.4.VAL,TRD.M.I8.Y.M.TTT.TR.4.VAL,TRD.M.I8.Y.M.TTT.US.4.VAL,TRD.M.I8.Y.M.TTT.Z5.4.VAL,TRD.M.I8.Y.X.CAP.J8.4.VAL,TRD.M.I8.Y.X.CAP.J8.4.VOX,TRD.M.I8.Y.X.COM.J8.4.VAL,TRD.M.I8.Y.X.COM.J8.4.VOX,TRD.M.I8.Y.X.INT.J8.4.VAL,TRD.M.I8.Y.X.INT.J8.4.VOX,TRD.M.I8.Y.X.MAN.J8.4.VAL,TRD.M.I8.Y.X.MAN.J8.4.VOX,TRD.M.I8.Y.X.TTT.B2.4.VAL,TRD.M.I8.Y.X.TTT.CH.4.VAL,TRD.M.I8.Y.X.TTT.CN.4.VAL,TRD.M.I8.Y.X.TTT.E4.4.VAL,TRD.M.I8.Y.X.TTT.F2.4.VAL,TRD.M.I8.Y.X.TTT.GB.4.VAL,TRD.M.I8.Y.X.TTT.J8.4.VAL,TRD.M.I8.Y.X.TTT.J8.4.VOX,TRD.M.I8.Y.X.TTT.JP.4.VAL,TRD.M.I8.Y.X.TTT.K0.4.VAL,TRD.M.I8.Y.X.TTT.RU.4.VAL,TRD.M.I8.Y.X.TTT.TR.4.VAL,TRD.M.I8.Y.X.TTT.US.4.VAL,TRD.M.I8.Y.X.TTT.Z5.4.VAL
,"Neither seasonally nor working day adjusted, Import, Total trade, Extra-Euro area 19 (fixed composition) as of 1 January 2015, Value (Community concept)","Neither seasonally nor working day adjusted, Import, Total trade, Extra-Euro area 19 (fixed composition) as of 1 January 2015, Volume index (Community concept)","Neither seasonally nor working day adjusted, Export, Total trade, Extra-Euro area 19 (fixed composition) as of 1 January 2015, Value (Community concept)","Neither seasonally nor working day adjusted, Export, Total trade, Extra-Euro area 19 (fixed composition) as of 1 January 2015, Volume index (Community concept)","Working day and seasonally adjusted, Import, Capital goods (BEC), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Value (Community concept)","Working day and seasonally adjusted, Import, Capital goods (BEC), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Volume index (Community concept)","Working day and seasonally adjusted, Import, Consumption goods (consumer goods and cars and petrol) (BEC), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Value (Community concept)","Working day and seasonally adjusted, Import, Consumption goods (consumer goods and cars and petrol) (BEC), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Volume index (Community concept)","Working day and seasonally adjusted, Import, Intermediate goods (BEC), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Value (Community concept)","Working day and seasonally adjusted, Import, Intermediate goods (BEC), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Volume index (Community concept)","Working day and seasonally adjusted, Import, Manufactured products (SITC 5 to 8), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Value (Community concept)","Working day and seasonally adjusted, Import, Manufactured products (SITC 5 to 8), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Volume index (Community concept)","Working day and seasonally adjusted, Import, Petroleum, petroleum products and related materials (SITC 33), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Value (Community concept)","Working day and seasonally adjusted, Import, Petroleum, petroleum products and related materials (SITC 33), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Volume index (Community concept)","Working day and seasonally adjusted, Import, Total trade, Latin America, Value (Community concept)","Working day and seasonally adjusted, Import, Total trade, Switzerland, Value (Community concept)","Working day and seasonally adjusted, Import, Total trade, China, Value (Community concept)","Working day and seasonally adjusted, Import, Total trade, Africa, Value (Community concept)","Working day and seasonally adjusted, Import, Total trade, Asia, Value (Community concept)","Working day and seasonally adjusted, Import, Total trade, United Kingdom, Value (Community concept)","Working day and seasonally adjusted, Import, Total trade, Extra-Euro area 19 (fixed composition) as of 1 January 2015, Value (Community concept)","Working day and seasonally adjusted, Import, Total trade, Extra-Euro area 19 (fixed composition) as of 1 January 2015, Volume index (Community concept)","Working day and seasonally adjusted, Import, Total trade, Japan, Value (Community concept)","Working day and seasonally adjusted, Import, Total trade, EU27 member states, as of 31 January 2020 (brexit), not belonging to Euro area 19 (fixed composition), Value (Community concept)","Working day and seasonally adjusted, Import, Total trade, Russian Federation, Value (Community concept)","Working day and seasonally adjusted, Import, Total trade, Turkey, Value (Community concept)","Working day and seasonally adjusted, Import, Total trade, United States, Value (Community concept)","Working day and seasonally adjusted, Import, Total trade, World not allocated (geographically), Value (Community concept)","Working day and seasonally adjusted, Export, Capital goods (BEC), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Value (Community concept)","Working day and seasonally adjusted, Export, Capital goods (BEC), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Volume index (Community concept)","Working day and seasonally adjusted, Export, Consumption goods (consumer goods and cars and petrol) (BEC), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Value (Community concept)","Working day and seasonally adjusted, Export, Consumption goods (consumer goods and cars and petrol) (BEC), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Volume index (Community concept)","Working day and seasonally adjusted, Export, Intermediate goods (BEC), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Value (Community concept)","Working day and seasonally adjusted, Export, Intermediate goods (BEC), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Volume index (Community concept)","Working day and seasonally adjusted, Export, Manufactured products (SITC 5 to 8), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Value (Community concept)","Working day and seasonally adjusted, Export, Manufactured products (SITC 5 to 8), Extra-Euro area 19 (fixed composition) as of 1 January 2015, Volume index (Community concept)","Working day and seasonally adjusted, Export, Total trade, Latin America, Value (Community concept)","Working day and seasonally adjusted, Export, Total trade, Switzerland, Value (Community concept)","Working day and seasonally adjusted, Export, Total trade, China, Value (Community concept)","Working day and seasonally adjusted, Export, Total trade, Africa, Value (Community concept)","Working day and seasonally adjusted, Export, Total trade, Asia, Value (Community concept)","Working day and seasonally adjusted, Export, Total trade, United Kingdom, Value (Community concept)","Working day and seasonally adjusted, Export, Total trade, Extra-Euro area 19 (fixed composition) as of 1 January 2015, Value (Community concept)","Working day and seasonally adjusted, Export, Total trade, Extra-Euro area 19 (fixed composition) as of 1 January 2015, Volume index (Community concept)","Working day and seasonally adjusted, Export, Total trade, Japan, Value (Community concept)","Working day and seasonally adjusted, Export, Total trade, EU27 member states, as of 31 January 2020 (brexit), not belonging to Euro area 19 (fixed composition), Value (Community concept)","Working day and seasonally adjusted, Export, Total trade, Russian Federation, Value (Community concept)","Working day and seasonally adjusted, Export, Total trade, Turkey, Value (Community concept)","Working day and seasonally adjusted, Export, Total trade, United States, Value (Community concept)","Working day and seasonally adjusted, Export, Total trade, World not allocated (geographically), Value (Community concept)"
Collection:,Summed through period (S),Average of observations through period (A),Summed through period (S),Average of observations through period (A),Summed through period (S),Average of observations through period (A),Summed through period (S),Average of observations through period (A),Summed through period (S),Average of observations through period (A),Summed through period (S),Average of observations through period (A),Summed through period (S),Average of observations through period (A),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Average of observations through period (A),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Average of observations through period (A),Summed through period (S),Average of observations through period (A),Summed through period (S),Average of observations through period (A),Summed through period (S),Average of observations through period (A),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Average of observations through period (A),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S)
Period\Unit:,[Thousands of Euro],[2010 = 100],[Thousands of Euro],[2010 = 100],[Thousands of Euro],[2010 = 100],[Thousands of Euro],[2010 = 100],[Thousands of Euro],[2010 = 100],[Thousands of Euro],[2010 = 100],[Thousands of Euro],[2010 = 100],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[2010 = 100],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[2010 = 100],[Thousands of Euro],[2010 = 100],[Thousands of Euro],[2010 = 100],[Thousands of Euro],[2010 = 100],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[2010 = 100],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro],[Thousands of Euro]
2020Nov,170933467.42,,196722771.06,,,,,,,,126415777.60,,,,6232796.38,8529123.51,26773861.82,8266127.54,54160287.26,13202460.47,164746807.93,,4124953.89,40163824.85,6163980.96,4487344.37,15117293.79,,,,,,,,161304754.14,,7491024.20,11565983.82,16649176.19,9997516.66,44795150.43,22978310.40,189817463.52,,3980170.27,41491101.09,5203078.36,5417865.19,27809095.99,
2020Oct,169616577.91,110.40,199234448.48,110.10,26736584.93,101.72,44807117.49,110.70,85481516.66,101.63,122641893.18,106.76,10924138.82,81.83,6289776.67,8681779.27,24642116.55,8068644.04,52049764.69,12796332.15,160929395.96,104.56,4090171.71,38515031.30,6032730.61,4602933.85,14501241.98,9297696.49,37394460.95,98.96,58797177.11,106.27,86066541.13,103.27,158057299.05,103.37,7309871.23,11382370.85,15771505.37,10226582.47,44913436.92,21919187.72,186137750.46,103.20,3831251.03,40632352.58,5215655.59,5950188.11,26443582.30,11959687.43
2020Sep,165412829.26,108.50,189808758.57,105.80,27585602.12,105.14,45635355.31,113.07,82696054.74,99.53,122194296.55,106.77,10927789.00,80.68,6218080.47,8298056.04,25476358.83,8076545.05,52441579.71,12207830.81,159174093.21,104.13,3762722.54,37660735.38,5342724.04,4611180.37,16152178.36,7974993.85,37098211.49,98.00,55763133.56,101.16,85747899.82,104.39,154788041.00,102.09,6919874.96,11492797.82,15405543.09,9530938.80,42817205.76,21154785.64,182533148.91,101.97,3852881.96,39648102.95,5274721.73,5503206.34,27425639.21,12618335.70
2020Aug,141881004.01,92.20,155787667.11,86.50,27638174.53,102.72,44573407.17,110.02,79843583.30,95.61,119672712.28,103.60,11762375.55,80.84,6047961.84,8269741.56,25631028.55,7513358.47,51337229.42,11991593.09,155168637.13,100.62,3735986.95,37282765.76,5452154.85,4417280.05,15341183.48,7309886.06,35868190.61,95.10,54239547.63,98.03,82060175.63,99.41,147627556.24,96.91,6700382.62,10805478.52,15316391.72,9025845.49,40619265.89,20695233.84,176028979.39,98.06,3399934.65,39669746.35,4933558.29,4833335.55,25622693.36,13359763.90
2020Jul,157832909.91,102.50,184856359.73,101.80,28011258.76,104.10,43678156.73,107.92,80143542.25,95.77,117001775.77,101.38,11401898.50,79.82,5520349.03,8510566.06,26650951.60,7300013.52,51698306.67,11851472.18,154521285.21,100.20,3757708.48,35782552.70,5683286.03,4325952.97,14101499.10,9983295.72,35028743.45,92.36,54483974.47,98.02,80293058.80,95.89,145439009.18,94.50,6286612.94,11066030.85,15184664.07,9320742.96,41685377.23,18797910.69,173035153.16,95.49,3759482.20,37774039.36,5043807.31,4675395.05,25738518.16,12577770.06
2020Jun,149506537.02,97.30,169595273.88,92.70,27041458.65,100.95,42672273.32,104.17,76000399.11,91.38,112984415.75,97.01,10407189.73,81.17,5419931.72,8073983.99,28406386.98,6862027.21,53328502.42,10841871.38,147888983.03,95.90,3904428.58,33645948.17,5221447.13,4189962.75,13188747.59,7163945.17,32079132.69,83.80,50989165.05,90.74,76815476.44,91.82,136122544.15,87.72,5585439.34,11023322.89,15241530.68,8231020.29,40645249.12,17713215.77,163700109.58,89.83,3810934.58,35661017.49,4952009.18,4178990.87,22796469.04,13168063.49
2020May,133911506.41,88.80,142691853.91,78.00,25495340.59,93.59,40256817.38,98.19,71785106.60,89.45,107006876.23,91.71,7811891.95,79.67,5600882.63,8242640.73,30369202.69,5619609.00,52984090.07,9543292.19,139540802.13,92.00,3575017.80,29931891.07,4344208.30,2815712.61,12540746.42,7834766.02,28931435.91,76.00,44265855.01,78.63,71857277.62,85.41,123356321.52,79.13,5206999.32,10240090.52,14318554.02,7076723.36,37778481.83,14784620.30,147836784.77,80.97,3961898.14,31816605.28,4429477.17,3438118.26,22321204.38,10574191.06
