"Excel CSV """"date format""""",,,,,,,,,,,,,,,
"Reference date","Open market operations excl. MonPol portfolios","Marginal lending facility","Deposit facility","Net liquidity effect from Autonomous Factors and MonPol portfolios","Current accounts","Reserve requirements","Excess liquidity","Covered bonds purchase programme","Securities markets programme","Covered bonds purchase programme 2","Covered bonds purchase programme 3","ABS purchase programme","Public sector purchase programme","Corporate sector purchase programme","Pandemic emergency purchase programme"
01/01/20,624092,140,275710,-1189145,1537667,134476,1678761,,,,,,,,
02/01/20,617656,2,235479,-1224540,1606720,134476,1707720,,,,,,,,
03/01/20,617656,1,228929,-1249559,1638287,134476,1732738,1760,47908,2911,263612,28435,2102927,184335,
06/01/20,617656,0,241522,-1266221,1642355,134476,1749400,,,,,,,,
07/01/20,617656,0,236745,-1266012,1646923,134476,1749192,,,,,,,,
08/01/20,617279,0,234130,-1279412,1662561,134476,1762215,,,,,,,,
09/01/20,617279,0,239584,-1283004,1660700,134476,1765807,,,,,,,,
10/01/20,617279,35,242572,-1290243,1664985,134476,1773046,1760,47908,2911,264456,28421,2105869,185661,
13/01/20,617279,36,249213,-1295418,1663520,134476,1778221,,,,,,,,
14/01/20,617279,19,249946,-1301750,1669103,134476,1784554,,,,,,,,
15/01/20,616996,0,247902,-1291429,1660523,134476,1773949,,,,,,,,
16/01/20,616996,4,253586,-1270653,1634067,134476,1753173,,,,,,,,
17/01/20,616996,5,258334,-1289466,1648134,134476,1771987,1715,47908,2911,265013,28565,2108225,187069,
20/01/20,616996,7,271697,-1270514,1615821,134476,1753035,,,,,,,,
21/01/20,616996,8,275671,-1253754,1595087,134476,1736274,,,,,,,,
22/01/20,617141,4,278553,-1257560,1596153,134476,1740225,,,,,,,,
23/01/20,617141,9,281292,-1273844,1609702,134476,1756509,,,,,,,,
24/01/20,617141,0,280887,-1272003,1608257,134476,1754668,1715,47908,2911,267604,28359,2113278,187504,
27/01/20,617141,10,287978,-1260818,1589991,134476,1743483,,,,,,,,
28/01/20,617141,0,330929,-1262708,1548920,134476,1745373,,,,,,,,
29/01/20,617777,5,241472,-1271289,1647599,135652,1753414,,,,,,,,
30/01/20,617732,49,236265,-1260189,1641706,135652,1742270,,,,,,,,
31/01/20,617732,0,260001,-1282649,1640380,135652,1764729,1580,47908,2911,267296,28118,2115262,189117,
03/02/20,617732,6,249825,-1316541,1684455,135652,1798622,,,,,,,,
04/02/20,617732,19,244214,-1307549,1681087,135652,1789630,,,,,,,,
05/02/20,616972,0,232889,-1297608,1681691,135652,1778929,,,,,,,,
06/02/20,616972,0,233982,-1295416,1678406,135652,1776736,,,,,,,,
07/02/20,616972,0,235043,-1308646,1690575,135652,1789967,1580,44757,2911,268424,28366,2118672,190559,
10/02/20,616972,0,226233,-1294926,1685665,135652,1776246,,,,,,,,
11/02/20,616972,0,227124,-1290225,1680073,135652,1771546,,,,,,,,
12/02/20,617030,23,225571,-1290571,1682053,135652,1771950,,,,,,,,
13/02/20,617030,0,227025,-1270348,1660353,135652,1751727,,,,,,,,
14/02/20,617030,177,223226,-1264526,1658507,135652,1745905,1580,44757,2911,269713,28439,2123102,192556,
17/02/20,617030,0,225482,-1253565,1645113,135652,1734943,,,,,,,,
18/02/20,617030,5,223538,-1247276,1640773,135652,1728655,,,,,,,,
19/02/20,617148,26,227682,-1231063,1620555,135652,1712559,,,,,,,,
20/02/20,617148,15,228554,-1222649,1611259,135652,1704146,,,,,,,,
21/02/20,617148,55,227690,-1234513,1624026,135652,1716009,1264,44757,2911,270058,28215,2128161,194143,
24/02/20,617148,22,225092,-1220060,1612137,135652,1701556,,,,,,,,
25/02/20,617148,29,230054,-1223978,1611101,135652,1705474,,,,,,,,
26/02/20,617855,36,231064,-1222453,1609281,135652,1704656,,,,,,,,
27/02/20,617239,55,228022,-1224177,1613449,135652,1705765,,,,,,,,
28/02/20,617239,0,256617,-1248982,1609604,135652,1730570,1088,44757,2911,270630,28328,2129399,194854,
